OBJECTID,Boro,Type,Provider,Lat,Long_,Location_T,City
973,MN,Free,Chelsea,40.7439893758,-74.003412724,Outdoor,New York
974,MN,Free,Chelsea,40.7409980115,-74.0054512019,Outdoor,New York
975,MN,Free,Chelsea,40.7441275609,-74.0050435071,Outdoor,New York
976,MN,Free,Chelsea,40.7402582786,-74.006003738,Outdoor,New York
977,MN,Free,Chelsea,40.7434061518,-74.0052151686,Outdoor,New York
978,MN,Free,Chelsea,40.7427700859,-74.0017175673,Outdoor,New York
979,MN,Free,Chelsea,40.7409492377,-74.0034019945,Outdoor,New York
980,MN,Free,Chelsea,40.7432415473,-74.0068030355,Outdoor,New York
981,MN,Free,Chelsea,40.7434366339,-74.0036487581,Outdoor,New York
982,MN,Free,Chelsea,40.7402745363,-74.0019750591,Outdoor,New York
983,SI,Limited Free,Time Warner Cable,40.61775,-74.108185,Indoor,Staten Island
984,SI,Limited Free,Time Warner Cable,40.61775,-74.108185,Indoor,Staten Island
985,MN,Free,Chelsea,40.7418463958,-74.0040446358,Outdoor,New York
986,MN,Free,Chelsea,40.7433065761,-74.0080261233,Outdoor,New York
987,BK,Limited Free,Time Warner Cable,40.720079,-73.949511,Outdoor,Brooklyn
988,BK,Limited Free,Time Warner Cable,40.720079,-73.949511,Outdoor,Brooklyn
989,BK,Limited Free,Time Warner Cable,40.720079,-73.949511,Outdoor,Brooklyn
990,BK,Limited Free,Time Warner Cable,40.625004,-74.017875,Outdoor TWC Aerial,Brooklyn
991,BK,Limited Free,Time Warner Cable,40.625313,-74.017344,Outdoor TWC Aerial,Brooklyn
992,BK,Limited Free,Time Warner Cable,40.62588,-74.016509,Outdoor TWC Aerial,Brooklyn
993,BK,Limited Free,Time Warner Cable,40.62638,-74.01579,Outdoor TWC Aerial,Brooklyn
994,BK,Limited Free,Time Warner Cable,40.626553,-74.016787,Outdoor TWC Aerial,Brooklyn
995,BK,Limited Free,Time Warner Cable,40.715088,-73.960502,Indoor,Brooklyn
996,BK,Limited Free,Time Warner Cable,40.715088,-73.960502,Indoor,Brooklyn
997,SI,Limited Free,Time Warner Cable,40.568366,-74.090642,Outdoor,Staten Island
998,SI,Limited Free,Time Warner Cable,40.569365,-74.08949,Outdoor,Staten Island
999,SI,Limited Free,Time Warner Cable,40.570195,-74.088547,Outdoor,Staten Island
1000,SI,Limited Free,Time Warner Cable,40.571268,-74.087293,Outdoor,Staten Island
